Illustrator,Card Count
5ban Graphics,2127
Ken Sugimori,1166
Kouki Saitou,874
Mitsuhiro Arita,806
Kagemaru Himeno,778
Masakazu Fukuda,560
Ryo Ueda,529
Toyste Beach,493
Atsuko Nishida,455
Shin Nagasawa,448
Akira Komayama,406
Midori Harada,394
Naoyo Kimura,360
Naoki Saito,352
Tomokazu Komiya,333
kirisAki,325
kawayoo,318
aky CG Works,313
nagimiso,295
Miki Tanaka,294
Sanosuke Sakuma,294
sui,288
Mizue,288
Yuka Morii,283
PLANETA Mochizuki,271
Studio Bora Inc.,264
Anesaki Dynamic,264
Shigenori Negishi,248
Sumiyoshi Kizuki,246
Hitoshi Ariga,244
Souichirou Gunjima,244
Kyoko Umemoto,238
Yukiko Baba,232
Saya Tsuruta,225
Hajime Kusajima,221
Keiji Kinebuchi,221
Ayaka Yoshida,215
Eske Yoshinob,213
sowsow,213
Oswaldo KATO,204
Shibuzoh.,199
Ryuta Fuse,195
kodama,190
MAHOU,186
AKIRA EGAWA,185
Megumi Mizutani,184
Teeziro,183
Mina Nakai,178
Aya Kusube,176
HYOGONOSUKE,175
match,169
Misa Tsutsui,167
GIDORA,166
PLANETA Tsuji,164
PLANETA CG Works,161
Hideki Ishikawa,159
Yuu Nishida,155
Sekio,146
OKACHEKE,144
takuyoa,143
GOSSAN,142
AYUMI ODASHIMA,142
miki kudo,131
0313,129
Hasuno,129
Suwama Chiaki,123
KEIICHIRO ITO,123
Ryota Murayama,123
Taira Akitsu,121
Uta,116
sadaji,116
Tika Matsuno,114
tetsuya koizumi,114
Kanako Eo,113
Narumi Sato,110
PLANETA Igarashi,108
N-DESIGN Inc.,103
ryoma uratsuka,103
SATOSHI NAKAI,103
TOKIYA,98
Toshinao Aoki,98
Nisota Niso,92
kantaro,91
Jerky,90
chibi,89
NC Empire,89
otumami,89
Yusuke Ohmura,86
Scav,85
Atsushi Furusawa,84
Eri Yamaki,82
Shizurow,81
Pani Kobayashi,81
Satoshi Shirai,80
You Iribi,80
Yoshinobu Saito,80
Shiburingaru,79
Kent Kanetsuna,78
Yuya Oka,78
DOM,77
Hisao Nakamura,76
hncl,74
saino misaki,73
Saki Hayashiro,69
take,68
inose yukie,66
yuu,64
kurumitsu,64
Tetsu Kayama,61
Saboteri,61
Asako Ito,61
PLANETA Yamashita,60
hatachu,58
Shinji Kanda,57
KIYOTAKA OSHIYAMA,55
Lee HyunJung,55
Shin-ichi Yoshida,55
rika,54
OKUBO,53
Nurikabe,50
Takumi Akabane,50
Shin-ichi Yoshikawa,49
Kurata So,48
Nagomi Nijo,48
Daisuke Ito,48
PLANETA,48
Takeshi Nakamura,47
Hikaru Koike,47
Nakaoka,46
Cona Nitanda,45
Sachiko Adachi,44
Jiro Sasumo,44
Yoriyuki Ikegami,43
Tonji Matsuno,43
matazo,42
akagi,42
Kazuma Koda,42
Nelnal,41
Dsuke,41
Shinya Komatsu,40
En Morikura,40
Takumi Wada,39
Hironobu Yoshida,39
Megumi Higuchi,38
Kazumasa Yasukuni,38
REND,38
MINAMINAMI Take,38
Shimaris Yukichi,37
Katsura Tabata,37
Hideaki Hakozaki,36
Masako Tomii,36
Wataru Kawahara,36
aspara,35
OOYAMA,35
Kariya,35
Haru Akasaka,34
aoki,34
Taiga Kasai,34
Yumi,34
Gemi,33
SIE NANAHARA,33
Taiga Kayama,33
Uninori,33
Natsumi Yoshida,33
Hiromichi Sugiyama,33
so-taro,33
satoma,32
Mousho,31
MARINA Chikazawa,31
Mékayu,30
Susumu Maeya,30
toriyufu,30
osare,29
Yukihiro Tada,29
Tomomi Ozaki,29
Masako Yamashita,29
Ligton,28
CR CG gangs,28
Orca,27
Kazuyuki Kano,27
Amelicart,26
Kedamahadaitai Yawarakai,26
danciao,26
Kuroimori,25
Oku,25
Kimiya Masago,25
nisimono,24
Krgc,24
Gapao,23
Nobuhiro Imagawa,23
Milky Isobe,23
Motofumi Fujiwara,23
GOTO minori,22
Yuriko Akase,22
Shinya Mizuno,22
Noriko Hotta,21
Ayako Ozaki,21
mashu,20
Keiko Fukuyama,20
ConceptLab,20
MUGENUP,20
Whisker,19
LINNE,19
Ounishi,19
Keisin,19
IKEDA Saki,19
cochi8i,18
mingo,18
Bun Toujo,18
Hasegawa Saki,18
Atsuya Uki,17
takashi shiraishi,17
Tomowaka,17
Takashi Yamaguchi,17
Mori Yuu,16
Makura Tami,16
Rond,16
Iori Suzuki,16
Ken Ikuji,16
PLANETA Otani,16
zig,15
Yano Keiji,15
Kyoko Koizumi,15
Yusuke Ishikawa,15
Tomoaki Imakuni,14
Katsunori Sato,14
tono,14
MPC Film,14
Hiroki Asanuma,13
HiRON,13
Rianti Hidayat,13
Apios,13
Minahamu,13
Narano,13
Hiroki Fuchino,13
Julie Hang,12
svlt,12
toi8,12
Nakamura Ippan,12
imoniii,12
Kai Ishikawa,12
Takao Unno,12
Kazuaki Aihara,12
PLANETA Hiiragi,11
Po-Suzuki,11
Wintr Wandr,11
Felicia Chen,11
Fujimoto Gold,11
Aliya Chen,11
kamonabe,11
USGMEN,11
Ryota Saito,11
Makoto Imai,11
PLANETA Saito,11
Yoshioka,10
Yoshimi Miyoshi,10
Kazuo Yazawa,10
Jungo Suzuki,10
YASHIRO Nanaco,9
Heisuke Kitazawa,9
Mugi Hamada,9
KYUPIYAMA,9
ORBITALLINK Inc.,9
Illus.&Direc.The Pokémon Company Art Team,8
Tsuyoshi Nagano,8
buchi,8
\,8
Framestore,8
D.A.G Inc.,8
Hataya,8
James Turner,7
Arai Kiriko,7
Hiroyuki Yamamoto,7
mele,7
Masa,7
Terada Tera,7
K. Hoshiba,7
Satoshi Ohta,7
Zu-Ka,7
2017 Pikachu Project,7
Emi Ando,7
