Illustrator,Card Count
5ban Graphics,2135
Ken Sugimori,1166
Kouki Saitou,874
Mitsuhiro Arita,806
Kagemaru Himeno,778
Masakazu Fukuda,560
Ryo Ueda,529
Toyste Beach,494
Atsuko Nishida,455
Shin Nagasawa,448
Akira Komayama,407
Midori Harada,394
Naoyo Kimura,361
Naoki Saito,354
Tomokazu Komiya,333
kirisAki,325
kawayoo,319
aky CG Works,313
nagimiso,296
Miki Tanaka,294
Sanosuke Sakuma,294
Mizue,290
sui,289
Yuka Morii,284
PLANETA Mochizuki,271
Anesaki Dynamic,267
Studio Bora Inc.,266
Shigenori Negishi,248
Sumiyoshi Kizuki,246
Hitoshi Ariga,244
Souichirou Gunjima,244
Kyoko Umemoto,239
Yukiko Baba,232
Saya Tsuruta,226
Hajime Kusajima,221
Keiji Kinebuchi,221
sowsow,217
Ayaka Yoshida,215
Eske Yoshinob,213
Oswaldo KATO,208
Shibuzoh.,200
Ryuta Fuse,195
kodama,193
Teeziro,189
MAHOU,186
AKIRA EGAWA,185
Megumi Mizutani,184
Mina Nakai,179
Aya Kusube,176
HYOGONOSUKE,176
match,169
GIDORA,167
Misa Tsutsui,167
PLANETA Tsuji,165
PLANETA CG Works,161
Hideki Ishikawa,159
Yuu Nishida,158
Sekio,146
OKACHEKE,145
takuyoa,143
AYUMI ODASHIMA,143
GOSSAN,142
miki kudo,131
Hasuno,131
0313,130
KEIICHIRO ITO,124
Suwama Chiaki,123
Ryota Murayama,123
Taira Akitsu,122
Uta,116
sadaji,116
Tika Matsuno,114
tetsuya koizumi,114
Kanako Eo,113
Narumi Sato,111
PLANETA Igarashi,109
N-DESIGN Inc.,106
ryoma uratsuka,103
SATOSHI NAKAI,103
Toshinao Aoki,99
TOKIYA,98
Nisota Niso,93
kantaro,91
Jerky,91
NC Empire,90
chibi,89
otumami,89
Yusuke Ohmura,86
Scav,86
Atsushi Furusawa,85
Pani Kobayashi,83
Eri Yamaki,82
Shizurow,81
Satoshi Shirai,80
You Iribi,80
Shiburingaru,80
Yoshinobu Saito,80
Yuya Oka,79
Kent Kanetsuna,78
DOM,78
Hisao Nakamura,76
hncl,74
saino misaki,73
Saki Hayashiro,69
take,68
yuu,66
inose yukie,66
kurumitsu,64
Saboteri,64
Tetsu Kayama,62
PLANETA Yamashita,61
Asako Ito,61
hatachu,58
Shinji Kanda,57
rika,57
KIYOTAKA OSHIYAMA,55
Lee HyunJung,55
OKUBO,55
Shin-ichi Yoshida,55
Nurikabe,52
Takumi Akabane,50
Shin-ichi Yoshikawa,49
Kurata So,48
Nagomi Nijo,48
Daisuke Ito,48
PLANETA,48
Takeshi Nakamura,47
Hikaru Koike,47
Nakaoka,46
Cona Nitanda,45
Sachiko Adachi,44
Jiro Sasumo,44
Tonji Matsuno,44
akagi,44
Yoriyuki Ikegami,43
matazo,43
Nelnal,42
Dsuke,42
Kazuma Koda,42
Shinya Komatsu,41
En Morikura,40
Takumi Wada,40
REND,39
Shimaris Yukichi,39
Hironobu Yoshida,39
Megumi Higuchi,38
Kazumasa Yasukuni,38
MINAMINAMI Take,38
Haru Akasaka,37
Katsura Tabata,37
Hideaki Hakozaki,36
Kariya,36
Masako Tomii,36
Wataru Kawahara,36
aoki,35
Mousho,35
aspara,35
OOYAMA,35
Taiga Kasai,35
satoma,35
Gemi,34
Yumi,34
SIE NANAHARA,33
Taiga Kayama,33
Uninori,33
Natsumi Yoshida,33
Hiromichi Sugiyama,33
so-taro,33
MARINA Chikazawa,32
osare,31
Mékayu,31
Yukihiro Tada,30
Susumu Maeya,30
toriyufu,30
Tomomi Ozaki,29
Ligton,29
Masako Yamashita,29
Orca,28
CR CG gangs,28
Kazuyuki Kano,27
Amelicart,26
Kedamahadaitai Yawarakai,26
Kuroimori,26
danciao,26
Krgc,26
nisimono,25
Oku,25
Kimiya Masago,25
Gapao,24
GOTO minori,23
Yuriko Akase,23
Nobuhiro Imagawa,23
Milky Isobe,23
Motofumi Fujiwara,23
Ounishi,22
Keisin,22
Shinya Mizuno,22
Noriko Hotta,21
cochi8i,21
Bun Toujo,21
Ayako Ozaki,21
mashu,21
Keiko Fukuyama,20
ConceptLab,20
MUGENUP,20
Whisker,19
LINNE,19
mingo,19
IKEDA Saki,19
Atsuya Uki,18
takashi shiraishi,18
Hasegawa Saki,18
Makura Tami,17
Iori Suzuki,17
Tomowaka,17
Takashi Yamaguchi,17
Yano Keiji,16
Mori Yuu,16
Rond,16
Narano,16
Ken Ikuji,16
PLANETA Otani,16
zig,15
Minahamu,15
Kyoko Koizumi,15
Yusuke Ishikawa,15
Tomoaki Imakuni,14
Rianti Hidayat,14
Julie Hang,14
Katsunori Sato,14
tono,14
MPC Film,14
Hiroki Asanuma,13
HiRON,13
Wintr Wandr,13
Apios,13
toi8,13
Nakamura Ippan,13
Hiroki Fuchino,13
svlt,12
Felicia Chen,12
Mugi Hamada,12
imoniii,12
Kai Ishikawa,12
Takao Unno,12
Kazuaki Aihara,12
PLANETA Hiiragi,11
Po-Suzuki,11
Fujimoto Gold,11
Aliya Chen,11
kamonabe,11
USGMEN,11
Ryota Saito,11
Makoto Imai,11
PLANETA Saito,11
YASHIRO Nanaco,10
Yoshioka,10
Yoshimi Miyoshi,10
Kazuo Yazawa,10
Jungo Suzuki,10
Heisuke Kitazawa,9
KYUPIYAMA,9
ORBITALLINK Inc.,9
Illus.&Direc.The Pokémon Company Art Team,8
mele,8
Masa,8
Tsuyoshi Nagano,8
Terada Tera,8
buchi,8
\,8
Framestore,8
D.A.G Inc.,8
Hataya,8
James Turner,7
Arai Kiriko,7
Hiroyuki Yamamoto,7
Eri Kamei,7
Kamome Shirahama,7
Yoko Hishida,7
Kanami Ogata,7
K. Hoshiba,7
Satoshi Ohta,7
Zu-Ka,7
2017 Pikachu Project,7
Emi Ando,7
Masahiko Ishii,7
Kenkichi Toyama,7
Mika Pikazo,7
Yuri Umemura,6
Yuka Tanaka,6
Iwamoto05,6
Izucch,6
burari,6
K. Utsunomiya,6
Atsuko Ujiie,6
The Pokémon Company Art Team,6
GAME FREAK inc.,6
BERUBURI,5
Natsumi Miyanose,5
okayamatakatoshi,5
Koji Nakata,5
HAGIYA Kaoru,5
Hiroaki Ito,5
DemizuPosuka,5
whomor Inc.,5
Hoshino KURO,4
Nabatame Kazutaka,4
Akino Fukuji,4
